#Data: SHAPE_SFM_49k_v20180804.dat
#Number of Polygons: 49152
#Rotational Period: 3.4 [h] , Density: 1200 [kg/m^3] 
#Unit: Polygon center coordinate in km, and SI units for other values.49152
#PlateID  center_x   center_y   center_z   lon    lat    CRefAccx   CRefAccy   CRefAccz   attract_x  attract_y  attract_z  Gpotential Rpotential Tpotential GeopotentialSlope  normal_x    normal_y    normal_z   area   
          90    -0.2634   -0.07936     0.2757  196.8  45.06  -6.94e-05 -2.091e-05          0   2.13e-05  1.277e-05 -0.0001193    0.07215   0.009969   -0.08212  20.99       -37.3       -15.67        63.35 3.758e-05 
          91    -0.2654   -0.08378     0.2732  197.5  44.47 -6.994e-05 -2.208e-05          0  2.108e-05  1.272e-05 -0.0001187     0.0721    0.01021   -0.08231  22.54      -36.62       -19.47        60.94 3.686e-05 
          92     -0.262   -0.08672     0.2743  198.3  44.82 -6.905e-05 -2.285e-05          0  2.123e-05  1.279e-05 -0.0001191    0.07218    0.01004   -0.08222  22.44      -36.65       -20.04        61.51 3.718e-05 
          93     -0.264    -0.0911     0.2717    199  44.21 -6.957e-05   -2.4e-05          0  2.108e-05  1.257e-05 -0.0001185    0.07215    0.01028   -0.08243  22.34      -36.63       -19.69        61.59 3.716e-05 
          94     -0.261   -0.09414      0.273  199.8  44.54 -6.877e-05 -2.481e-05          0  2.123e-05   1.24e-05 -0.0001188    0.07216    0.01014    -0.0823  25.76      -43.53       -8.756        59.84 3.726e-05 
          95    -0.2631   -0.09851     0.2705  200.5  43.92 -6.932e-05 -2.596e-05          0   2.11e-05  1.229e-05 -0.0001181     0.0721     0.0104   -0.08249  27.43      -42.92       -15.65        56.72 3.641e-05 
          96      -0.26    -0.1016     0.2719  201.3  44.25 -6.851e-05 -2.677e-05          0  2.108e-05   1.23e-05 -0.0001186    0.07209    0.01027   -0.08235   27.1      -42.27       -16.94        57.12 3.653e-05 
          97    -0.2619    -0.1059     0.2692    202  43.62 -6.901e-05  -2.79e-05          0  2.101e-05  1.212e-05 -0.0001178    0.07207    0.01051   -0.08258  27.85      -42.59       -19.12        56.83 3.677e-05 
          98    -0.2589     -0.109     0.2704  202.8  43.91 -6.821e-05 -2.872e-05          0  2.099e-05  1.203e-05 -0.0001183    0.07207    0.01039   -0.08247  27.87      -42.54       -19.39           57 3.686e-05 
          99    -0.2608    -0.1133     0.2678  203.5  43.28 -6.872e-05 -2.985e-05          0  2.091e-05  1.157e-05 -0.0001176    0.07203    0.01065   -0.08268  25.45      -40.49       -11.48        56.84 3.536e-05 
         100     -0.258    -0.1165     0.2695  204.3   43.6 -6.798e-05  -3.07e-05          0  2.081e-05  1.133e-05  -0.000118    0.07194    0.01056    -0.0825  29.16      -45.54       -4.026         55.9 3.61e-05 
